,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
166,,,,,0.7264,,,,,,,,,,,,,0.756,,,,,0.8058,,,,0.8768
167,,,,,0.8634,,,,,,,,,,,,,0.7514,,,,,0.7958,,,,0.8768
168,,,,,0.8054,,,,,,,,,,,,,0.742,,,,,0.7602,,,,0.8754
169,,,,,0.8312,,,,,,,,,,,,,0.847,,,,,0.8444,,,,0.8262
170,,,,,0.8096,,,,,,,,,,,,,0.8476,,,,,0.8442,,,,0.8578
171,,,,,0.8082,,,,,,,,,,,,,0.844,,,,,0.834,,,,0.83
172,,,,,0.8778,,,,,,,,,,,,,0.8492,,,,,0.8396,,,,0.8692
173,,,,,0.8742,,,,,,,,,,,,,0.853,,,,,0.8262,,,,0.865
174,,,,,0.8814,,,,,,,,,,,,,0.844,,,,,0.8254,,,,0.845
175,,,,,0.8828,,,,,,,,,,,,,0.8698,,,,,0.8504,,,,0.8392
176,,,,,0.8896,,,,,,,,,,,,,0.8714,,,,,0.853,,,,0.8422
177,,,,,0.8918,,,,,,,,,,,,,0.8694,,,,,0.8736,,,,0.826
178,,,,,0.8926,,,,,,,,,,,,,0.8738,,,,,0.8592,,,,0.7864
179,,,,,0.88,,,,,,,,,,,,,0.8798,,,,,0.8534,,,,0.78
180,,,,,0.6922,,,,,,,,,,,,,0.8838,,,,,0.8534,,,,0.8592
181,,,,,0.8014,,,,,,,,,,,,,0.8806,,,,,0.86,,,,0.8482
182,,,,,0.8954,,,,,,,,,,,,,0.8566,,,,,0.891,,,,0.8464
183,,,,,0.9018,,,,,,,,,,,,,0.8808,,,,,0.885,,,,0.8408
184,,,,,0.8948,,,,,,,,,,,,,0.8842,,,,,0.8604,,,,0.8686
185,,,,,0.883,,,,,,,,,,,,,0.8848,,,,,0.874,,,,0.7982
186,,,,,0.8872,,,,,,,,,,,,,0.883,,,,,0.8582,,,,0.8706
187,,,,,0.7774,,,,,,,,,,,,,0.8396,,,,,0.8522,,,,0.8686
188,,,,,0.8972,,,,,,,,,,,,,0.8952,,,,,0.8126,,,,0.8622
189,,,,,0.899,,,,,,,,,,,,,0.8978,,,,,0.8952,,,,0.8704
190,,,,,0.8988,,,,,,,,,,,,,0.8982,,,,,0.8608,,,,0.8696
191,,,,,0.8964,,,,,,,,,,,,,0.8948,,,,,0.8748,,,,0.8814
192,,,,,0.8942,,,,,,,,,,,,,0.8898,,,,,0.8802,,,,0.8822
193,,,,,0.897,,,,,,,,,,,,,0.875,,,,,0.8682,,,,0.868
194,,,,,0.899,,,,,,,,,,,,,0.866,,,,,0.8596,,,,0.8448
195,,,,,0.9034,,,,,,,,,,,,,0.8072,,,,,0.83,,,,0.87
196,,,,,0.8774,,,,,,,,,,,,,0.8488,,,,,0.8826,,,,0.8618
197,,,,,0.8994,,,,,,,,,,,,,0.7238,,,,,0.8864,,,,0.851
198,,,,,0.873,,,,,,,,,,,,,0.4508,,,,,0.9012,,,,0.8452
199,,,,,0.8914,,,,,,,,,,,,,0.878,,,,,0.8954,,,,0.8958
200,,,,,0.8898,,,,,,,,,,,,,0.8714,,,,,0.9024,,,,0.897
201,,,,,0.8928,,,,,,,,,,,,,0.8558,,,,,0.9122,,,,0.8954
202,,,,,0.8264,,,,,,,,,,,,,0.8706,,,,,0.8818,,,,0.8816
203,,,,,0.8736,,,,,,,,,,,,,0.8668,,,,,0.8992,,,,0.8794
204,,,,,0.9048,,,,,,,,,,,,,0.8644,,,,,0.8958,,,,0.8632
205,,,,,0.9,,,,,,,,,,,,,0.8542,,,,,0.9084,,,,0.9
206,,,,,0.9092,,,,,,,,,,,,,0.8826,,,,,0.8768,,,,0.886
207,,,,,0.9128,,,,,,,,,,,,,0.8864,,,,,0.8912,,,,0.8486
208,,,,,0.9036,,,,,,,,,,,,,0.89,,,,,0.8664,,,,0.8978
209,,,,,0.9014,,,,,,,,,,,,,0.8686,,,,,0.8618,,,,0.8968
