,loss,accuracy,training_iteration,config/h1,config/h2,config/h3,config/lr,config/weight_decay,logdir
95,0.0015925593759821,0.604597701149425,50,8,16,64,8.39309474029073E-06,0.000187525435401208,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00095_95_h1=8,h2=16,h3=64,lr=0.0000,weight_decay=0.0002_2023-03-01_10-40-13"
92,0.0015646395464053,0.548965517241379,50,64,32,32,4.98526353577245E-05,0.000434646031663887,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00092_92_h1=64,h2=32,h3=32,lr=0.0000,weight_decay=0.0004_2023-03-01_10-39-43"
0,0.0015869895343122,0.52,50,12,32,0,1.81266002866123E-05,3.58721623877423E-07,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00000_0_h1=12,h2=32,h3=0,lr=0.0000,weight_decay=0.0000_2023-03-01_10-31-37"
11,0.0015910649299621,0.52,50,64,16,32,1.46136635564033E-06,0.000525920160400531,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00011_11_h1=64,h2=16,h3=32,lr=0.0000,weight_decay=0.0005_2023-03-01_10-31-41"
15,0.0015821017068007,0.52,50,64,12,0,1.95367574006722E-05,1.16386180646102E-07,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00015_15_h1=64,h2=12,h3=0,lr=0.0000,weight_decay=0.0000_2023-03-01_10-31-41"
19,0.001542807310477,0.52,50,64,32,16,8.02696248066436E-05,0.000437561351825631,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00019_19_h1=64,h2=32,h3=16,lr=0.0001,weight_decay=0.0004_2023-03-01_10-33-27"
27,0.0015906067004148,0.52,50,12,64,64,2.75181066421699E-06,4.94932129891988E-06,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00027_27_h1=12,h2=64,h3=64,lr=0.0000,weight_decay=0.0000_2023-03-01_10-33-33"
33,0.0015908391996361,0.52,50,8,32,16,1.35458563221463E-06,4.84528194311463E-05,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00033_33_h1=8,h2=32,h3=16,lr=0.0000,weight_decay=0.0000_2023-03-01_10-34-32"
38,0.0015904041268359,0.52,50,12,32,64,1.31252207592523E-05,1.32261300352153E-06,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00038_38_h1=12,h2=32,h3=64,lr=0.0000,weight_decay=0.0000_2023-03-01_10-34-49"
39,0.0015854530224854,0.52,50,12,16,32,5.66484411847116E-05,2.84237645190477E-07,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00039_39_h1=12,h2=16,h3=32,lr=0.0001,weight_decay=0.0000_2023-03-01_10-34-49"
41,0.0015898070390197,0.52,50,12,16,32,1.36911829371585E-05,4.75534988387892E-05,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00041_41_h1=12,h2=16,h3=32,lr=0.0000,weight_decay=0.0000_2023-03-01_10-34-50"
50,0.0015809750282901,0.52,50,32,0,64,2.46549428431349E-05,8.46090724483623E-06,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00050_50_h1=32,h2=0,h3=64,lr=0.0000,weight_decay=0.0000_2023-03-01_10-36-07"
68,0.001582544918718,0.52,50,12,12,0,4.1831670840101E-05,1.01279905711539E-08,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00068_68_h1=12,h2=12,h3=0,lr=0.0000,weight_decay=0.0000_2023-03-01_10-38-00"
69,0.0015823531150817,0.52,50,64,0,0,1.64434499188157E-06,1.26753586015346E-06,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00069_69_h1=64,h2=0,h3=0,lr=0.0000,weight_decay=0.0000_2023-03-01_10-38-01"
70,0.001587435240033,0.52,50,64,16,64,2.47490692975443E-05,0.000280921089080774,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00070_70_h1=64,h2=16,h3=64,lr=0.0000,weight_decay=0.0003_2023-03-01_10-38-03"
79,0.0015686592562445,0.52,50,32,12,32,5.42741177609726E-05,9.62766781969394E-06,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00079_79_h1=32,h2=12,h3=32,lr=0.0001,weight_decay=0.0000_2023-03-01_10-38-53"
82,0.0015904085115454,0.52,50,16,12,16,1.80391634478254E-05,4.58659549068027E-07,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00082_82_h1=16,h2=12,h3=16,lr=0.0000,weight_decay=0.0000_2023-03-01_10-39-13"
86,0.001589155416379,0.52,50,64,64,0,5.20476942738882E-06,1.36066186118005E-06,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00086_86_h1=64,h2=64,h3=0,lr=0.0000,weight_decay=0.0000_2023-03-01_10-39-23"
90,0.0015912014862586,0.52,50,64,32,64,3.20355194133991E-06,0.000264469657441181,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00090_90_h1=64,h2=32,h3=64,lr=0.0000,weight_decay=0.0003_2023-03-01_10-39-35"
96,0.0015884616457182,0.52,50,12,32,0,2.52700339550192E-05,1.90647846381134E-07,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00096_96_h1=12,h2=32,h3=0,lr=0.0000,weight_decay=0.0000_2023-03-01_10-40-25"
97,0.0015865459935418,0.52,50,12,64,128,4.3896199726356E-05,8.33199943418838E-05,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00097_97_h1=12,h2=64,h3=128,lr=0.0000,weight_decay=0.0001_2023-03-01_10-40-29"
99,0.0015753811255268,0.52,50,12,32,0,3.12789297637705E-05,6.02113720410201E-06,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00099_99_h1=12,h2=32,h3=0,lr=0.0000,weight_decay=0.0000_2023-03-01_10-40-31"
28,0.0015933052972815,0.507126436781609,50,16,32,128,6.65046357228409E-06,7.22383234021604E-06,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00028_28_h1=16,h2=32,h3=128,lr=0.0000,weight_decay=0.0000_2023-03-01_10-33-35"
10,0.0015935670370343,0.502528735632184,50,16,0,32,6.14057656895248E-06,1.06564974097425E-05,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00010_10_h1=16,h2=0,h3=32,lr=0.0000,weight_decay=0.0000_2023-03-01_10-31-41"
3,0.0015936656655936,0.491954022988506,50,16,64,128,5.80531765170827E-06,1.92654541268601E-08,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00003_3_h1=16,h2=64,h3=128,lr=0.0000,weight_decay=0.0000_2023-03-01_10-31-41"
1,0.001602984077629,0.48,50,16,16,64,8.95344507811579E-06,2.5951275103781E-05,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00001_1_h1=16,h2=16,h3=64,lr=0.0000,weight_decay=0.0000_2023-03-01_10-31-41"
